age,workclass,education,marital status,occupation,relationship,race,gender,capital gain,capital loss,hours per week,income,income_value
90,,HS-grad,Widowed,,Not-in-family,White,Female,0,4356,40,<=50K,47710
82,Private,HS-grad,Widowed,Exec-managerial,Not-in-family,White,Female,0,4356,18,<=50K,40375
66,,Some-college,Widowed,,Unmarried,Black,Female,0,4356,40,<=50K,43369
54,Private,7th-8th,Divorced,Machine-op-inspct,Unmarried,White,Female,0,3900,40,<=50K,32399
41,Private,Some-college,Separated,Prof-specialty,Own-child,White,Female,0,3900,40,<=50K,39642
34,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,0,3770,45,<=50K,49615
38,Private,10th,Separated,Adm-clerical,Unmarried,White,Male,0,3770,40,<=50K,31855
74,State-gov,Doctorate,Never-married,Prof-specialty,Other-relative,White,Female,0,3683,20,>50K,1414092
68,Federal-gov,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Female,0,3683,40,<=50K,45005
41,Private,Some-college,Never-married,Craft-repair,Unmarried,White,Male,0,3004,60,>50K,70548
45,Private,Doctorate,Divorced,Prof-specialty,Unmarried,Black,Female,0,3004,35,>50K,501458
38,Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,0,2824,45,>50K,1191934
52,Private,Bachelors,Widowed,Other-service,Not-in-family,White,Female,0,2824,20,>50K,738543
32,Private,Masters,Separated,Exec-managerial,Not-in-family,White,Male,0,2824,55,>50K,438330
51,,Doctorate,Never-married,,Not-in-family,White,Male,0,2824,40,>50K,122829
46,Private,Prof-school,Divorced,Prof-specialty,Not-in-family,White,Male,0,2824,40,>50K,611099
45,Private,11th,Divorced,Transport-moving,Not-in-family,White,Male,0,2824,76,>50K,1267837
57,Private,Masters,Divorced,Exec-managerial,Not-in-family,White,Male,0,2824,50,>50K,362241
22,Private,Assoc-acdm,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,2824,40,>50K,1482702
34,Private,Bachelors,Separated,Sales,Not-in-family,White,Male,0,2824,50,>50K,465613
37,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,0,2824,40,>50K,1186344
29,Private,11th,Separated,Sales,Not-in-family,White,Female,0,2754,42,<=50K,41604
61,Private,HS-grad,Divorced,Sales,Unmarried,White,Female,0,2754,25,<=50K,35409
51,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2603,40,<=50K,31258
61,,HS-grad,Married-civ-spouse,,Husband,White,Male,0,2603,32,<=50K,37475
21,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2603,40,<=50K,33385
33,Private,1st-4th,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,2603,32,<=50K,48955
49,Private,5th-6th,Married-civ-spouse,Other-service,Husband,White,Male,0,2603,40,<=50K,48457
37,Self-emp-inc,10th,Never-married,Transport-moving,Not-in-family,White,Male,0,2559,50,>50K,893332
38,Private,10th,Never-married,Prof-specialty,Not-in-family,White,Male,0,2559,90,>50K,659994
23,Private,Some-college,Separated,Other-service,Not-in-family,White,Male,0,2559,40,>50K,77969
59,Self-emp-inc,10th,Widowed,Exec-managerial,Unmarried,White,Female,0,2559,50,>50K,798610
52,Private,Prof-school,Divorced,Exec-managerial,Not-in-family,White,Male,0,2559,60,>50K,1128894
51,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,0,2559,50,>50K,246037
60,Self-emp-not-inc,HS-grad,Never-married,Exec-managerial,Not-in-family,Black,Male,0,2559,50,>50K,164027
63,Federal-gov,Doctorate,Divorced,Exec-managerial,Not-in-family,White,Female,0,2559,60,>50K,211493
53,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,0,2559,48,>50K,680566
51,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Female,0,2559,50,>50K,336101
37,Self-emp-not-inc,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,0,2559,60,>50K,895779
54,Private,Masters,Divorced,Prof-specialty,Not-in-family,White,Female,0,2559,40,>50K,179901
44,Private,Bachelors,Divorced,Exec-managerial,Unmarried,White,Male,0,2547,50,>50K,384178
43,Private,Masters,Divorced,Exec-managerial,Unmarried,White,Female,0,2547,40,>50K,1224203
51,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,0,2547,40,>50K,1032243
43,Private,Masters,Divorced,Prof-specialty,Unmarried,White,Female,0,2547,40,>50K,62334
71,,HS-grad,Married-civ-spouse,,Husband,White,Male,0,2489,15,<=50K,41192
48,Private,Bachelors,Married-spouse-absent,Sales,Unmarried,White,Female,0,2472,70,>50K,251731
71,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,2467,52,<=50K,32733
73,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,2457,40,<=50K,47360
68,,Some-college,Married-civ-spouse,,Wife,White,Female,0,2457,40,<=50K,33572
67,,Some-college,Married-civ-spouse,,Husband,White,Male,0,2457,40,<=50K,41765
40,Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,0,2444,45,>50K,1309143
50,Private,HS-grad,Widowed,Sales,Not-in-family,White,Female,0,2444,72,>50K,953873
51,State-gov,Assoc-voc,Divorced,Tech-support,Not-in-family,White,Male,0,2444,39,>50K,595520
42,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,0,2444,40,>50K,89101
39,Private,Masters,Never-married,Sales,Not-in-family,White,Male,0,2444,45,>50K,1475438
32,Private,Bachelors,Never-married,Exec-managerial,Other-relative,White,Male,0,2444,50,>50K,1319648
53,Private,Some-college,Separated,Craft-repair,Not-in-family,White,Male,0,2444,45,>50K,1490335
40,Local-gov,Some-college,Never-married,Protective-serv,Not-in-family,White,Male,0,2444,40,>50K,296087
38,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,0,2444,45,>50K,581253
33,Private,Assoc-voc,Separated,Craft-repair,Not-in-family,White,Male,0,2444,42,>50K,160444
43,Private,Assoc-acdm,Divorced,Craft-repair,Not-in-family,White,Male,0,2444,70,>50K,325086
50,Self-emp-inc,11th,Never-married,Exec-managerial,Other-relative,White,Male,0,2444,40,>50K,1429578
44,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2415,6,>50K,138805
51,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,2415,40,>50K,1292255
41,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,40,>50K,1496857
60,Self-emp-inc,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2415,70,>50K,510563
37,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,60,>50K,1184809
55,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,35,>50K,1273693
39,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,2415,60,>50K,97317
42,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,60,>50K,749357
49,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,2415,55,>50K,160530
47,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,>50K,556171
41,Local-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,45,>50K,796397
55,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,>50K,1183431
39,Private,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,65,>50K,904922
42,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,60,>50K,557793
41,,Assoc-voc,Married-civ-spouse,,Husband,White,Male,0,2415,12,>50K,1094669
46,Private,Masters,Married-civ-spouse,Sales,Husband,White,Male,0,2415,65,>50K,1175450
40,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,45,>50K,1170570
32,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,48,>50K,876730
41,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,55,>50K,352821
60,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,80,>50K,721494
31,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,70,>50K,1407335
58,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,40,>50K,1272804
37,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,2415,50,>50K,85440
44,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,>50K,848736
39,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,50,>50K,1314723
43,Federal-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2415,55,>50K,1063810
55,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,>50K,1447371
44,Self-emp-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,55,>50K,1373930
39,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,2415,67,>50K,1034445
46,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,2415,40,>50K,895935
39,Private,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,99,>50K,1144783
62,Self-emp-inc,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,60,>50K,443688
31,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,0,2415,40,>50K,1076273
46,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,2415,35,>50K,1386711
